"#"	"Network Object ""FROM"""	"Object Type"	"Network Object ""TO"""	"Object Type"	"Effect"	"Mechanism"	"Homo sapiens"	"Link Info"	"References"
124	"PPAR-gamma/RXR-alpha"	"Transcription factor"	"LKB1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative PPAR-gamma/RXR-alpha binding site is found in gene STK11 promoter."	"15774015"
125	"AKT1"	"Protein kinase"	"mTOR"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Increased AKT phosphorylation regulates different metabolic pathways in liver, including increases in protein synthesis through activation of mTOR/p70 (S6kinase)."	"10567225;10910062;11357143;11438723;12767043;14970221;15549092;15718470;17660512;18566586;18678273;21097843"
126	"FAK1"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Activation"	"Binding"	"x"	"FAK1 physically interacts with GSK3 beta and increases its activity."	"11809746"
127	"GSK3 beta"	"Protein kinase"	"YB-1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates YB-1 and increases its activity."	"16198352"
128	"EGFR"	"Receptor with enzyme activity"	"G-protein alpha-i2"	"G-alpha"	"Activation"	"Binding"	"x"	"EGFR physically interacts with G-protein alpha-i2 and increases its activity."	"11286993;21712088"
129	"p70 S6 kinase2"	"Protein kinase"	"Rictor"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"s6k2 can phosphorylate Rictor protein."	"19720745"
130	"GSK3 beta"	"Protein kinase"	"LRP6"	"Generic receptor"	"Activation"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates at least Ser1490 of LRP6 and this phosphorylation enhances the binding of Axin to LRP6."	"16340998;16341017;16365045;16890161;17188462;18432252;19309792;21406690;21935433"
131	"IKK-beta"	"Protein kinase"	"Hamartin"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"IKK-beta phosphorylates Hamartin and decreases its activity."	"17693255;18466115;19648011;21170083"
132	"AKT1"	"Protein kinase"	"AMPK alpha subunit"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"AKT1 phosphorylates and inhibits AMPK alpha subunit"	"16340011;16724053"
133	"c-Src"	"Protein kinase"	"p300"	"Generic enzyme"	"Activation"	"Binding"	"x"	"C-Src physically interacts with p300 and increases its activity."	"10973497;15688032;20110770"
134	"c-Src"	"Protein kinase"	"p90RSK2(RPS6KA3)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Src and Fyn were able to directly phosphorylate RSK2 at Y529 in the  in vitro kinase assay."	"18156174"
135	"PtdIns(3,4,5)P3 intracellular"	"Compоund"	"PtdIns(3,4,5)P3 + H(,2)O = PO(,4)('3-) + PtdIns(4,5)P2"	"Reaction"	"Technical"	"Technical"	"x"		
136	"Wee1B"	"Protein kinase"	"CDK1 (p34)"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"Wee1B phosphorylates and inhibits CDK1 (p34)"	"11029659;16418576"
137	"IQGAP1"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Activation"	"Binding"	"x"	"The N-terminus of IQGAP1 interacts with mTOR, which is required for IQGAP1-mediated cell proliferation."	"19454477"
138	"AMPK alpha subunit"	"Protein kinase"	"AFX1"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"AMPK alpha subunit phosphorylates AFX1."	"17711846;18391970"
139	"Cyclin D1"	"Generic binding protein"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Binding"	"x"	"Cyclin D1 physically interacts with  Tuberin and decreases its activity."	"16357142;18291711"
140	"ESR1 (nuclear)"	"Transcription factor"	"Progesterone receptor"	"Transcription factor"	"Activation"	"Transcription regulation"	"x"	"Using a chromatin immunoprecipitation-paired end diTag cloning and sequencing strategy it was identified ESR1 (nuclear) binding site on Progesterone receptor."	"9328341;9922098;10894148;11452016;11581164;12063183;12612073;12706304;15019994;15031323;15084343;15509581;15525597;15821114;16293641;16455494;16912174;16945332;16961928;17013392;17033697;17047081;17158757;17272396;17275994;17515612;17542648;17872378;17962382;18202148;18258688;18533032;18755239;19574448;19620238;19952285;20406620;21502505;21596782;22002538;22514284"
141	"PKC-zeta"	"Protein kinase"	"LKB1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Further analysis revealed that PKC directly phosphorylated LKB1 at Ser428 in vitro and in intact cells."	"16407220;18321849;19029933;19414597;19937189;21835890"
142	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"CDC42"	"RAS - superfamily"	"Inhibition"	"Transformation"	"x"	"TSC2 acts as GAP for Cdc42."	"20530489"
143	"p90RSK2(RPS6KA3)"	"Protein kinase"	"p300"	"Generic enzyme"	"Activation"	"Binding"	"x"	"RSK1 binds and enhances the function of the transcriptional co-activators CREB-binding protein (CBP) and p300."	"18277385;18813292"
144	"AMPK beta1"	"Generic binding protein"	"AMPK alpha 2 subunit"	"Protein kinase"	"Activation"	"Binding"	"x"	"Complex regulatory subunit AMPK beta1 binds to catalytic subunit AMPK alpha 2 subunit and activates it."	"9224708;15695819;20562859"
145	"ERK2 (MAPK1)"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Phosphorylation"	"x"	"Inactivating phosphorylation of tuberin at residue S664 by ERK2 causes the disruption of the hamartin/tuberin complex and activation of mTOR."	"15342917;15851026;16288294;16968213;17376031;18291711"
146	"ErbB4"	"Receptor with enzyme activity"	"PI3K reg class IA (p85)"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"ErbB4 physically interacts with and phosphorylates PI3K reg class IA (p85) and enhance its activity."	"10353604;17715395"
147	"p300"	"Generic enzyme"	"Bcl-10"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Putative p300 binding site is found in gene BCL10 promoter."	"19714753"
148	"p90RSK1"	"Protein kinase"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"CBP  interacts with transcription factors that are phosphorylated by RSK1 and RSK2, such as CREB, c-Fos, ER81, ER, and NF-B, suggesting that RSK may help in the recruitment of CBP and p300 cofactors to promoters regulated by these transcription factors."	"9528769;11139588;11432835;11507039;12093745;21372320"
149	"Huntingtin"	"Generic binding protein"	"PSD-95"	"Generic binding protein"	"Inhibition"	"Binding"	"x"	"Huntingtin physically interact with PSD-95 and decreases it activity"	"11319238;12932731;15036808"
150	"GSK3 beta"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"GSK-3beta Directly Phosphorylates S6K1 at the Ser371 Residue."	"22065737"
151	"EGFR"	"Receptor with enzyme activity"	"PKA-cat alpha"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"EGFR physically interacts with  PKA-cat alpha."	"9050991;21866565"
152	"AKT3"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Unspecified"	"Phosphorylation"	"x"	"Akt phosphorylates tuberin in vitro and in vivo and mediates insulin- and IGF1-induced tuberin phosphorylation. Akt phosphorylation of tuberin induces degradation of hamartin and tuberin, that leads to transcription repression and degradation of p27kip1 and induces cell cycle progression and cell proliferation."	"12167664"
153	"p300"	"Generic enzyme"	"ITGB4"	"Generic receptor"	"Activation"	"Transcription regulation"	"x"	"The presence of p300 on the ITGB4 promoter  was found by HIPK2  interference."	"19567674"
154	"ERK2 (MAPK1)"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"ERK2 (MAPK1) phosphorylates GSK3 beta and decreases its activity."	"16039586;18045539;19407222"
155	"GSK3 beta"	"Protein kinase"	"CDC25A"	"Protein phosphatase"	"Inhibition"	"Phosphorylation"	"x"	"Glycogen synthase kinase-3beta (GSK-3beta) phosphorylates Cdc25A  to promote its proteolysis in early cell-cycle phases."	"17570479;18167338"
156	"ETS1"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"ETS1 binds to Hamartin promoter."	"14597398;20019798;20195357"
157	"M-Ras"	"RAS - superfamily"	"A-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"Shoc2 decreased expression levels, dramatically inhibit the ability of active M-Ras to interact with PP1c while having little effect on the interaction of Raf-1 with M-Ras."	"15143186;16630891"
158	"mTOR"	"Protein kinase"	"FAP-1"	"Generic phosphatase"	"Unspecified"	"Phosphorylation"	"x"	"FAP-1 is a putative mTOR target."	"21659604"
159	"c-Src"	"Protein kinase"	"RXR"	"Transcription factor"	"Activation"	"Binding"	"x"	"C-Src physically interacts with RXR and increases its activity."	"16936639"
160	"LKB1"	"Protein kinase"	"p53"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Interaction of LKB1 with p53 was shown by using yeast two-hybrid system method ."	"11430832;14999267;16189514;17108107;17128209;19029933;20100570"
161	"Beta-catenin"	"Generic binding protein"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"Beta-catenin and TCF4 and c-Jun co-occupied EGFR gene containing TCF4 and AP-1 consensus motifs. LiCl (LiCl is a well-established agonist of the Wnt/Beta-catenin pathway) increased mitogen-induced expression of EGFR.  this analysis indicated that Wnt/Beta-catenin and mitogen-signaling pathways directly activate Beta-catenin target genes in colon cancer cells."	"20460455;22493441"
162	"ERK2 (MAPK1)"	"Protein kinase"	"LKB1"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"ERK2 phosphorylates LKB1 and this phosphorylation compromises the ability of LKB1 to bind and activate AMP-dependent protein kinase."	"19187764"
163	"Sirtuin1"	"Generic enzyme"	"LKB1"	"Protein kinase"	"Activation"	"Deacetylation"	"x"	"LKB1interacts with endogenous SIRT1. SIRT1 deacytelated and activated LKB1 activity."	"18687677;19937189"
164	"H-Ras"	"RAS - superfamily"	"c-Src"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"H-Ras physically interacts with C-Src  and decreases its activity."	"12695509"
165	"mTORC1"	"Protein kinase"	"PRAS40"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"Phosphorylation of PRAS40-Thr246 by PKB/Akt, and PRAS40-Ser183 and PRAS40-Ser221 by mTORC1 results in dissociation from mTORC1, and its binding to 14-3-3 proteins."	"20138985;20965424;21659605"
166	"GSK3 beta"	"Protein kinase"	"PTEN"	"Lipid phosphatase"	"Inhibition"	"Phosphorylation"	"x"	"the phosphorylation of Thr366 by GSK-3beta plays a role in destabilizing the PTEN protein."	"16107342;17444818;18032782;18490923;18511551;21629754"
167	"JNK2(MAPK9)"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Activation"	"Binding"	"x"	"JNK2 suppresses Beta-catenin signaling through GSK3beta-proteasome pathway, active JNK2 indeed interacted with GSK3beta and Beta-catenin."	"19675674"
168	"C/EBPbeta"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Putative C/EBPbeta binding site is found in gene TSC1 promoter."	"14597398"
169	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"c-Src"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PKA phosphorylation of Src occurs in multiple cell types."	"15546918;16835269"
170	"c-Raf-1"	"Protein kinase"	"ERK5 (MAPK7)"	"Protein kinase"	"Activation"	"Binding"	"x"	"Interaction of c-Raf-1 with ERK5 (MAPK7) was shown by using yeast two-hybrid system method ."	"8853442;10531364;16189514;16376520;17706925"
171	"EGFR"	"Receptor with enzyme activity"	"STAT5B"	"Transcription factor"	"Activation"	"Binding"	"x"	"EGFR interacts with STAT5B and activates it"	"10358079;10558875;11751923;15578920;16729043"
172	"c-Src"	"Protein kinase"	"PKC-epsilon"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"c-Src physically interacts with PKC-epsilon."	"8621384;11834516;15380937;15467757;21074588"
173	"C/EBPbeta"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Transcription regulation"	"x"	"c/ebp beta binds to GSK3 beta promoter."	"19398579;19571675"
174	"AKT(PKB)"	"Protein kinase"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Phosphorylation"	"x"	"Phosphorylation of EGFR at Ser229 by Akt is critical for EGFR nuclear translocation and gefitinib resistance."	"21487020"
175	"p90RSK2(RPS6KA3)"	"Protein kinase"	"Androgen receptor"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"P90RSK2(RPS6KA3) phosphorylates Androgen receptor and increases its activity."	"15833840"
176	"p53"	"Transcription factor"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Transcription regulation"	"x"	"P53 binds to gene Tuberin promoter and activates Tuberin expression."	"14561707;17409411;19342893;20182617;20303758;20399660;21779512"
177	"Oct-3/4"	"Transcription factor"	"AMPK beta1"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"AMPK beta1 is a predicted target of Oct-3/4."	"21695281"
178	"p90RSK1"	"Protein kinase"	"C/EBPbeta"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"RSK1 was also found to promote the survival of hepatic stellate cells by phosphorylating the Thr217 of CCAAT/enhancer binding protein- (C/EBP)."	"10635333;16246908;18813292"
179	"AML1 (RUNX1)"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Putative AML1 binding site is found in gene TSC1 promoter."	"14597398"
180	"AMPK alpha 1 subunit"	"Protein kinase"	"p73"	"Transcription factor"	"Inhibition"	"Binding"	"x"	"AMPKalpha1 binds and  specifically represses the transcriptional activity of p73alpha."	"19079340"
181	"AMPK alpha 1 subunit"	"Protein kinase"	"SREBP1 (nuclear)"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"AMPKalpha subunit interacts with and directly phosphorylates precursor and nuclear fForms of SREBP-1c or SREBP-2."	"21459323"
182	"c-Src"	"Protein kinase"	"AKT(PKB)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Src induces tyrosine phosphorylation of Akt and increases Akt activity"	"11445557;12600984;15467757;16432186;18936167"
183	"MEK1(MAP2K1)"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MEK1(MAP2K1) phosphorylates GSK3 beta and increases its activity."	"15020233"
184	"PAK1"	"Protein kinase"	"AKT1"	"Protein kinase"	"Activation"	"Binding"	"x"	"PAK1 interacts with Akt and facilitates membrane translocation of Akt."	"12027902;12138087;14749719;18931661"
185	"NF-kB"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"Potential binding sites for transcription factors AP-1, ETS, Myod, NF-kB, SP1 and CDX1 are found in the promoter of ITGB4 gene."	"9837976"
186	"KLF5"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"KLF5 can bind to gene EGFR promoter and activates EGFR expression."	"17158781"
187	"FOXO3A"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"The promoter region of ITGB4 gene  contains putative FOXO3 binding site."	"21293178"
188	"BAF"	"Generic enzyme"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Binding"	"x"	"BAF interacts with ESR1 (nuclear) and activates it"	"9099865;11003650;12200431"
189	"p70 S6 kinase1"	"Protein kinase"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"S6K1 regulates Estrogen Receptor a (ERa) by phosphorylating it on serine 167, leading to transcriptional activation of ERa."	"19112174"
190	"HSP70"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Activation"	"Binding"	"x"	"HSP70 associates with mTOR. mTORC2 formation and activity is inhibited in cells in which Hsp70 expression is downregulated."	"18505677"
191	"AMPK alpha 1 subunit"	"Protein kinase"	"PKC-zeta"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Hypoxia-generated mitochondrial ROS lead to the activation of the AMPK alpha1 isoform, which binds and directly phosphorylates PKCzeta at Thr410, thereby promoting Na,K-ATPase endocytosis."	"19380482;20946954"
192	"mTORC1"	"Protein kinase"	"Sirtuin1"	"Generic enzyme"	"Inhibition"	"Phosphorylation"	"x"	"The mTOR/Raptor complex physically interacts with SIRT1 and TOS motif is important for S47 SIRT1 phosphorylation."	"21471201"
193	"p53"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Activation"	"Binding"	"x"	"p53 binds to GSK3beta, and this direct association increases the activity of GSK3beta."	"11483158;12048243;12064478;14744935;21672591"
194	"GSK3 beta"	"Protein kinase"	"CaMKK2"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"Glycogen synthase kinase 3 beta (GSK3beta) phosphorylates N Terminus of CaMKKbeta. CaMKKbeta phosphorylation is critical for its role in neurite development."	"21669867"
195	"LKB1"	"Protein kinase"	"PAK1"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"LKB1 suppresses p21-activated kinase-1 (PAK1) by phosphorylation of Thr109 in the p21-binding domain."	"20400510"
196	"p90RSK3(RPS6KA2)"	"Protein kinase"	"LKB1"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"P90RSK3 phosphorylates LKB1 and this phosphorylation compromises the ability of LKB1 to bind and activate AMP-dependent protein kinase."	"19187764"
197	"c-Src"	"Protein kinase"	"PKC-alpha"	"Protein kinase"	"Activation"	"Binding"	"x"	"c-Src binds to PKC-alpha and stimulates it kinase activity."	"16407820"
198	"SIK"	"Protein kinase"	"p53"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"SIK phosphorylates p53 at Ser15 and promotes its activity"	"19622832"
199	"AKT1"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"AKT1 interacts with and phosphorylates GSK3B."	"8524413;11035810;12714585;15688030;15902400;16009706;16282323;17525380;18354084;18505846;18725386;19250614;19995607;20399660;20562913;20856200;21220513;21376054;21779512;21821916;22434044"
200	"TFIIB"	"Generic binding protein"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Unspecified"	"Transcription regulation"	"x"	"TFIIB-binding site was computationally predicted in Tuberin gene."	"17997859"
201	"GSK3 beta"	"Protein kinase"	"Rictor"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 can phosphorylate Rictor protein."	"19720745"
202	"mTORC1"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"GSK3B is a candidate substrate of mTORC1."	"21659605"
203	"c-Src"	"Protein kinase"	"Calpain 2(m)"	"Generic protease"	"Unspecified"	"Phosphorylation"	"x"	"Calpain 2 (m) is a substrate of c-Src."	"19632164"
204	"PLK1"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"Interaction of PLK1 with GSK3 beta was shown by mass spectrometry."	"17446864"
205	"Cyclin B1"	"Generic binding protein"	"Separase"	"Generic protease"	"Inhibition"	"Binding"	"x"	"Sepharase is phosphorylated and bound to cyclin B1 in mitotic-enriched populations."	"15989971;16868023;20360068;21402792"
206	"JunB/Fra-1"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Activation"	"Transcription regulation"	"x"	"JunB/Fra-1 proteins interact in vivo with the beta4-integrin promoter and that JunB/Fra-1 promoter occupancy is reduced during keratinocyte differentiation as well as in HPV8 E2 positive keratinocytes."	"19923172"
207	"AP-1"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative AP-1 binding site is found in gene GSK3 beta promoter."	"10486203"
208	"AFX1"	"Transcription factor"	"LKB1"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"Putative AFX1 binding site is found in gene STK11 promoter."	"15774015;22412893"
209	"VIL2 (ezrin)"	"Generic binding protein"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"Ezrin Y145 phosphorylation by Src affects the activation status of Src."	"15647376"
210	"CARM1"	"Generic enzyme"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Binding"	"x"	"Liganded ER was recruited to ERE together with histone acetyltransferases SRC-1 and p300, ubiquitin ligase E6-AP, histone methyltransferase Carm1 (Carm), and polymerase (pol) II."	"11010967;17166846;19351845"
211	"LKB1"	"Protein kinase"	"AMPK alpha 1 subunit"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"LKB1 phosphorylates AMPK alpha 1 subunit and increases its activity."	"14511394;19584313;20399660;22318606"
212	"GSK3 beta"	"Protein kinase"	"N-Myc"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta inactivates N-Myc by phosphorylation that leads to N-Myc destabilization and subsequent degradation"	"14660435;16139224;17353931;17570479"
213	"TC21"	"RAS - superfamily"	"B-Raf"	"Protein kinase"	"Activation"	"Binding"	"x"	"TC21 interacts with B-Raf and activates it"	"10064593;11023813;15143186"
214	"M-Ras"	"RAS - superfamily"	"B-Raf"	"Protein kinase"	"Activation"	"Binding"	"x"	"R-Ras3 binds and activates B-Raf in neuronal cells"	"12138204;15143186;16630891;17555829;20936779"
215	"c-Raf-1"	"Protein kinase"	"Aurora-A"	"Protein kinase"	"Activation"	"Binding"	"x"	"C-Raf-1 binds to Aurora-A and activates it"	"22081024"
216	"Leptin receptor"	"Generic receptor"	"ErbB2"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"Physical interactions between ObR and HER2 were probed by immunoprecipitation and fluorescent immunostaining and In MCF-7 cells, HER2 physically interacted with ObR and leptin treatment increased HER2 phosphorylation on Tyr 1248."	"18262553;18945363"
217	"GRB2"	"Generic binding protein"	"AMPK beta1"	"Generic binding protein"	"Activation"	"Binding"	"x"	"GRB2 physically interacts with AMPK beta1 and increases its activity."	"17849173;18230642;18624398"
218	"AML1/ETO fusion protein"	"Transcription factor"	"Separase"	"Generic protease"	"Inhibition"	"Transcription regulation"	"x"	"AML1/ETO fusion protein binds to gene Separase promoter and suppresses Separase expression."	"18511808"
219	"Androgen receptor"	"Transcription factor"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Transcription regulation"	"x"	"Androgen receptor regulates transcription of Tuberin."	"17721441;22194994"
220	"GSK3 beta"	"Protein kinase"	"Prolactin receptor"	"Generic receptor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 phosphorylates Prolactin receptor on Ser349 leading to Prolactin receptor ubiquitination and degradation."	"18316598"
221	"IKK-beta"	"Protein kinase"	"Bcl-10"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"IKK triggers Bcl10 degradation by the ubiquitin-proteasome system through phosphorylation of Bcl10 at other sites."	"16818229;17072322;17183360;17213322;17468049;17473308;19648011"
222	"ATP1A1"	"Generic channel"	"c-Src"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"ATP1A1 interacts with c-Src."	"16267270;16698801;16714287;21278788"
223	"MEK1/2"	"Protein kinase"	"ERK1/2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MAP kinase activator  1 and  MAP kinase activator  2 phosphorylates ERK1 and ERK2."	"1321146;7601337;10358048;14575864;16267008;19165201;22100392;22182511"
224	"CDK1 (p34)"	"Protein kinase"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"Hamartin is phosphorylated at three residues (T417, S584 and T1047) by the cyclin-dependent kinase 1 (CDK1) during nocodazole induced G2/M arrest and during progression of synchronized cells through G2/M phase of the cell cycle ."	"11444800;14551205;16288294"
225	"c-Src"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"GSK3 beta is an c-src substrate."	"22499769"
226	"mTOR"	"Protein kinase"	"STAT3"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"mTOR mediates IL-6-induced STAT3 phosphorylation and activation."	"10660304;12796477;15522880;17993646"
227	"c-Src"	"Protein kinase"	"JAK2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PDGF activation of the Janus kinase 2 (JAK2) kinase is inhibited by the Src inhibitor PP2."	"9006890;9525481;12003786;12032773;21075308;21102457"
228	"GSK3 beta"	"Protein kinase"	"NF-AT1(NFATC2)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Zoledronic acid inhibits GSK-3b kinase-mediated NFATc2 stabilization in cancer cells."	"21628454"
229	"c-Src"	"Protein kinase"	"p70 S6 kinase2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"C-Src phosphorylates p70 S6 kinase2 and increases its activity."	"16640565"
230	"LKB1"	"Protein kinase"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Binding"	"x"	"LKB1 is a regulator of ESR1 signaling.  LKB1 binds to ESR1 in a ligand-independent manner  in the nuclear compartment of the cell . A function of this interaction is that LKB1 enhances ESR1-mediated transactivation in a ligand-dependent manner , since abrogation of LKB1 expression by siRNA resulted in a suppression of ESR1 activity."	"19369417"
231	"MITF"	"Transcription factor"	"Separase"	"Generic protease"	"Activation"	"Transcription regulation"	"x"	"MITF directly upregulates gene Separase expression."	"21258399"
232	"mTORC1"	"Protein kinase"	"B-Raf"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"B-Raf is a candidate substrate of mTORC1."	"21659605"
233	"AKT1"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Phosphorylation"	"x"	"Tuberin residing in the cytosol is phosphorylated by AKT, suggesting that AKT directly controls tuberins localization and  activity by decreasing the amount of tuberin located at the membrane, thereby reducing its inhibitory effect on the Rheb - mTOR - S6K signaling pathway."	"12150915;12167664;12438239;15342917;16636147;17570479;18291711;20965424;21157483"
234	"MUC1"	"Generic binding protein"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"MUC1 and EGFR formed biochemical complexes and MUC1 expression potentiates EGF-dependent mitogen-activated protein kinase signaling"	"11278868;11483589;16082192;16983337;17638868;17850209;18812166;20406885;21277939"
235	"ErbB3"	"Receptor with enzyme activity"	"PI3K reg class IA (p85)"	"Generic binding protein"	"Activation"	"Binding"	"x"	"ErbB3 physically interacts with PI3K reg class IA (p85) and increases its activity."	"7556068;7642563;8264617;9388271;9677338;12595575;12896906;15520002;16055672;16724053;18625725"
236	"B-Raf"	"Protein kinase"	"MEK1/2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Active Raf phosphorylates and activates the dual specificity tyrosine and threonine kinases MEK1 and 2."	"7935374;8621729;17553668"
237	"EGFR"	"Receptor with enzyme activity"	"DNA-PK"	"Protein kinase"	"Activation"	"Binding"	"x"	"Radiation-induced caveolin-1- and EGFR-phosphorylations were associated with nuclear EGFR transport and activation of DNA-PK, as detected by phosphorylation at T2609."	"9430697;16713182;18789131;21266349"
238	"EGFR"	"Receptor with enzyme activity"	"GRP78"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"mLEEK (EGFR) regulates GRP78 transcription through direct interaction with a cis-regulatory element within the gene promoter."	"15657067;21986942"
239	"Itch"	"Generic enzyme"	"Bcl-10"	"Generic binding protein"	"Inhibition"	"Ubiquitination"	"x"	"BCL10 degradation is mediated by its ubiquitylation through the NEDD4 and Itch E3 ligases and subsequent lysosomal degradation."	"15082780;17468049"
240	"STAT3"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"STAT3 probably regulates gene GSK3B transcription."	"21044952"
241	"mTOR"	"Protein kinase"	"AFAP"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"AFAP is a putative mTOR target."	"21659604"
